Name,Category,Timing,Starting,Growing,Harvest
Beets,Vegetable,"Direct sow 4 weeks after last frost to mid-summer. Beets will not produce roots if planted when the soil is too cold. Seeds will germinate in 5-12 days, depending on soil temperature. Optimal soil temperature: 10-26°C (50-80°F).","Sow 1cm (½”) deep, 5-10cm (2-4″) apart in rows 30-45cm (12-18″) apart.","Ideal pH: 6.0-6.8.For uniformly sized beets, thin carefully to 7-15cm (3-6″) apart when seedlings are 5cm (2″) tall. Eat any thinned plants, roots and all. Root size is controlled by spacing and variety. GerminationDays to maturity: From direct sowing.In optimum conditions at least 75% of seeds will germinate. Usual seed life: 3 years. Per 100′ row: 600-1M seeds, per acre: 436M seeds.","Harvest at any size. For the best flavour, pull the beets as soon as they have reached full-size. Eat the greens too! Store in the ground, or in moist peat or sand just above freezing."
Broccoli,Vegetable,"Start indoors right around the last frost date or later in spring for summer harvest in 2 to 3 months. For fall harvest, start indoors late spring and transplant in July, harvesting just before the first frost date. For overwintering sprouting broccoli , start indoors late March to mid-April, and harvest the following February to May. Seeds will germinate in 7-10 days. Optimal temperature for germination: 10-30°C (50-85°F).","Sow indoors, 3 or 4 seeds per pot, 5mm (¼”) deep, under very bright light. Thin to the strongest plant. Space transplants 45-60cm (18-24″) apart in rows 75-90cm (30-36″) apart.","Ideal pH: 6.0-6.8. Broccoli is a moderate to heavy feeder that does best in humus-rich soil amended with composted manure. Mix ¼-½ cup complete organic fertilizer into the soil under each transplant. Transplants should be set out by the time they have 6-8 true leaves. When plants are 20-25cm (8-10″) tall, push soil around the stems up to the first big leaf to encourage side shoots. Broccoli does best in cool weather. GerminationDays to maturity: From transplant date.In optimum conditions at least 80% of seeds will germinate. Usual seed life: 3 years. Per 100′ row: 170 seeds, per acre: 30M seeds.","Cut the crown portion of the broccoli with 5 to 6 inches of stem, after it’s fully developed, but before it begins to loosen and separate and the individual flowers start to develop into bright yellow blooms. Removing the central head stimulates regrowth to develop for later pickings. Cutting the head lower on the stem will encourage fewer, but larger side-shoots. The regrowth portion grows from the base of the lower leaves. You can usually continue to harvest broccoli for several weeks."
Broccoli Raab,Vegetable,"Start indoors right around the last frost date or later in spring for summer harvest in 2 to 3 months. Seeds will germinate in 7-10 days. Optimal temperature for germination: 10-30°C (50-85°F). For fall harvest: Start indoors late spring and transplant in July, harvesting just before the first frost date. For overwintering sprouting broccoli ( Start indoors late March to mid-April, and harvest the following February to May. ","Sow indoors, 3 or 4 seeds per pot, 5mm (¼”) deep, under very bright light. Thin to the strongest plant. Space transplants 45-60cm (18-24″) apart in rows 75-90cm (30-36″) apart. Growing & TransplantIdeal pH: 6.0-6.8Broccoli is a moderate to heavy feeder that does best in humus-rich soil amended with composted manure. Set transplants out by the time they have 6-8 true leaves. Mix ¼-½ cup complete organic fertilizer into the soil under each transplant. When plants are 20-25cm (8-10″) tall, push soil around the stems up to the first big leaf to encourage side shoots. Broccoli does best in cool weather. GerminationDays to maturity: From transplant date.In optimum conditions at least 80% of seeds will germinate. Usual seed life: 3 years. Per 100′ row: 170 seeds, per acre: 30M seeds.",,"Cut the crown portion of the broccoli with 5 to 6 inches of stem, after it’s fully developed, but before it begins to loosen and separate and the individual flowers start to develop into bright yellow blooms. Removing the central head stimulates regrowth to develop for later pickings. Cutting the head lower on the stem will encourage fewer, but larger side-shoots. The regrowth portion grows from the base of the lower leaves. You can usually continue to harvest broccoli for several weeks."
Brussels Sprout,Vegetable,"The goal is to harvest mature sprouts after they have been kissed by frost. Seeds can be directly sown any time once the daytime temperature is steadily above 10°C (50°F). Otherwise, start the seeds in small pots or transplant beds and transplant into the garden so the plants are in the ground for 45-60 days before the first hard frost. Optimal soil temperature for germination: 10-30°C (50-85°F). Seeds should germinate in 7-10 days.","Sow 3-4 seeds per pot, 1cm (1/2”) deep, under very bright light. Thin to the strongest plant. Transplants should be set out when they have 6-8 true leaves. Space transplants 45-60cm (18-24″) apart in rows 75-90cm (30-36″) apart.","Ideal pH: 6.0-7.5.Plant in humus-rich soil amended with composted manure. Mix ¼ cup complete organic fertilizer into the soil under each transplant. High nitrogen levels result in loose sprouts with internal browning, so do not fertilize after midsummer. Cool temperatures during sprout development are important for compact, quality sprouts. GerminationDays to maturity: From transplant date.In optimum conditions at least 80% of seeds will sprout. Usual seed life: 3 years. Per 100′ row: 170 seeds, per acre: 30M seeds.","Sprouts are sweeter after moderate freezes. Pick when sprouts are firm and well-formed, beginning with the ones at the bottom. The upper sprouts continue to form and enlarge as the bottom ones are harvested. For a once-over harvest, to ensure you have enough for your holiday meal, pinch out the growing point at the top of the stem when the lower sprouts are 1-2 cm (½-¾”) in diameter. A full stem of evenly sized sprouts will develop in about 2 weeks.After harvesting the sprouts, there may be another harvest in early spring where winters are mild. The plant sends up long, edible flower stalks which are tender and sweet when steamed, or served raw with a dip."
Bush Bean,Vegetable,"Direct sow mid-to late spring. Try to plant during a warm, dry spell. Soil must be warm—if it is not warm enough, seeds may rot, especially since our seeds are not treated with fungicide. Sow drying beans as early as possible, so they can mature before rainy/cold weather sets in. Optimal soil temperature: 21-2°C (70-90°F). Seeds will sprout in 8-16 days, depending on conditions.","Sow bush bean seeds 2-5cm (1-2”) deep, 5-8cm (2-3”) apart, in rows 45-60cm (18-24”) apart. Thin to at least 15cm (6”) apart in each row. If the weather is too wet, beans can also be started in pots indoors and set out carefully a few weeks later. For a longer harvest, plant at 3 week intervals.","Ideal pH: 6.0-6.5Well drained, warm soil in full sun is best. Use 1 cup of complete organic fertilizer for every 3m (10′) of row. Raised beds help with both drainage and warmth.  Too much nitrogen fertilizer is often the cause of poor pod set and delayed maturity. If the plants flower but do not set pods, the cause may be zinc deficiency. Try spraying the plants with kelp-based fertilizer.  GerminationDays to maturity: From direct sowing.In optimal conditions at least 75% of seeds should germinate. Usual seed life: 3 years. Per 100′ row: 800 seeds. Per acre: 232M seeds.","Pick beans regularly to keep the plant producing (if pods get fat with seed, the plant will stop flowering). The smaller the bean, the more tender they are."
Cabbage,Vegetable,Sow indoors beginning in late winter and transplant outdoors from 2 weeks after the last frost date to early summer. Overwintering cabbage is sown outdoors during July where winters are mild. Optimal soil temperature: 10-30°C (50-85°F). Seeds should germinate in 7-10 days.,"Sow 3 or 4 seeds per pot, 5mm (¼”) deep, under very bright light. Thin to the strongest plant. Space transplants 45-60cm (18-24″) apart in rows 60-90cm (24-36″) apart.","Ideal pH: 6.5-7.0.Cabbage does best in humus-rich soil amended with composted manure. Mix ½ cup complete organic fertilizer into the soil beneath each transplant. If growth slows, side dress with a little more balanced organic fertilizer. Heads of early varieties can split from over-maturity, rapid growth after heavy rain, or irrigation after dry spells. Splits can be delayed by twisting the plant or cultivating deeply next to plants in order to break roots and slow growth. Fall and winter varieties stand in the garden longer without splitting. If direct sown, add 20-25 days to the maturity date.If cabbages won’t form heads, it may be from an imbalance of too much nitrogen in the soil in relation to phosphorus. Cabbages require cool temperatures to form heads well. Hot weather can interfere with the development of heads. GerminationDays to maturity: From transplant date.In optimum conditions at least 80% of seeds should germinate. Usual seed life: 3 years. Per 100′ row: 200 seeds, per acre: 44M seeds.","Cabbage heads are ready when they’re firm to the touch, and when the interior is fairly dense. Heads will split when they’re allowed to overly mature. Rapid growth due to excess watering and fertility will also cause splitting of the head. Plant early, mid-season and late varieties to spread out your harvest. Late varieties tend to be better for storage or for making sauerkraut. Early (summer harvest) varieties tend not to store as well."
Carrot,Vegetable,,"Because carrot seeds are tiny, they need to be sown shallowly. The trick is to keep the top-most layer of soil damp during the relatively long germination period. Water deeply prior to planting. Direct sow the tiny seeds 5mm (¼”) deep, 4 seeds per 2cm (1″), and firm soil lightly after seeding. Make sure the seeds are only just buried. Water the area with the gentlest stream possible, and keep it constantly moist until the seeds sprout.","Ideal pH: 6.0-6.8. The softer and more humus-based the soil, the better. When soil is dry enough in spring, work it to a fine texture. Broadcast and dig in ½ cup complete organic fertilizer for every 3m (10′) of row. Avoid fresh manure. Carrots will become misshapen, but still edible if they hit anything hard as they grow down into the soil. Keep weeded and watered. GerminationDays to maturity: From direct sowing.In optimal conditions at least 60% of seeds will germinate. Usual seed life: 3 years. Per 100′ row: 2.4M seeds, per acre: 1,044M seeds. Rates are for raw, not pelleted seeds. ThinningThis is the process of removing some seedlings, if necessary, so each has enough space to grow in the row. It is very important to thin carrots so they don’t compete for available nutrients, moisture, and light. Thin to 4-10cm (1½-4″) apart when the young plants are 2cm (1″) tall. Use wider spacing to get larger roots. As they grow, carrots may push up, out of the soil, so hill soil up to prevent getting a green shoulder.","Carrots can be harvested at any size, but flavour is best when the carrot has turned bright orange (or its other mature colour). After harvest, store at cold temperatures just above 0ºC. Store in sand or sawdust, or simply leave carrots under heaped soil in the garden during the winter, and pull as needed."
Cauliflower,Vegetable,"Start indoors four weeks before the last frost to late spring. Transplant in 5-6 weeks. Direct seed when temperatures are reliably above 10°C (50°F). Overwintering types are started in July where winters are mild, and transplanted by mid-August. Optimal soil temperature: 10-30°C (50-85°F). Seeds should germinate in 7-10 days.",Sow 3-4 seeds 5mm (¼”) deep in each spot you want a plant to grow. Thin to the strongest plant. Space transplants 45-60cm (18-24″) apart in rows 60-90cm (24-36″) apart.,"Ideal pH: 6.0-6.8.Humus-rich soil amended with composted manure is best. Mix ½ cup of complete organic fertilizer into the soil beneath each transplant. From seedling to harvest, cauliflower must grow steadily to make a large plant and curd. If growth slows, scratch additional fertilizer into the surface of the soil around each plant. Maintain even soil moisture with regular watering. Shade the developing curds from sun by tying up leaves or using newspaper. This is known as “blanching,” and will keep them white. Add 20-25 days to the maturity dates if direct sowing. GerminationDays to maturity: From transplant date.In optimal conditions, at least 80% of seeds should germinate. Usual seed life: 3 years. Per 100′ row: 200 seeds, per acre: 44M seeds.","Once curd forms, check every day and cut when the florets are just beginning to separate. At this point the flavour is at peak quality and the size is maximum."
Celary,Vegetable,Start indoors in late winter to mid-spring. Optimal soil temperature: 15-24°C (60-75°F). Seeds take up to 20-30 days for germination.,"Sow seeds no more than 5mm (¼”) deep, 3 seeds per pot, and thin to the strongest plant.","Ideal pH: 6.0-6.5.Celery is a heavy feeder and needs rich, moist soil. Add compost to soil and apply ¼-½ cup of complete organic fertilizer per 1.5m (5′) of row. Transplant when seedlings are 10-12cm (4-5″) tall. Avoid transplanting until night time temperatures are reliably at 10°C (50°F) or warmer. Space transplants 30cm (12″) apart in rows at least 45cm (18″) apart. Water frequently. Premature bolting may result from young plants being exposed to temperatures below 13°C (55°F) for several days. GerminationDays to maturity: From transplant date.In optimal conditions at least 55% of seeds should germinate. Usual seed life: 3 years.","For best flavour and longer storage, water plants the day before harvest. Stalks on the outside of the plant can be harvested at any time. The entire plant may be harvested once the desired size is reached, but the home gardener should leave the plant in the garden and take only what is needed, leaving the root intact. If winter is not too cold, celery will stand in the garden until spring, allowing for light pickings for soups and salads."
Chard,Vegetable,Direct sow any time from early spring to mid-summer. Chard is moderately winter hardy and may perform into the following spring where winters are mild. Optimal soil temperature: 10-30°C (50-85°F). Seeds should sprout in 7-14 days.,"Sow seeds 1cm (½”) deep, spaced 10-30cm (4-12″) apart in rows 45cm (18″) apart.","Ideal pH: 6.0-6.5. Swiss chard prefers loose, deep, and fertile soil that is rich in organic matter. Plenty of consistent moisture is required, especially as plants grow larger. It grows best in full sun, but will tolerate light shade in summer. A liquid fertilizer or compost tea applied twice during summer will keep chard growing well. GerminationDays to Maturity:From direct sowing.In optimal conditions at least 75% of seeds will germinate. Usual seed life: 3 years. Per 100′ row: 220 seeds, per acre: 64M seeds.","For salad mix, seed more densely and cut as baby leaves. Cut individual mature stalks using the large outer ones first."
Corn,Vegetable,"Direct sow in late spring. If the soil is not warm enough, seeds often rot before sprouting – especially when not treated with fungicide. Untreated corn seeds should be planted only when the soil has warmed up above 18°C (65°F) – warmer for super-sweet (sh2) types, and even warmer for a good stand. Use a soil thermometer. If spring weather is cold, consider planting in flats or individual pots, indoors with bottom heat, for transplanting. Seeds should germinate in 7-10 days. If it rains after planting and corn does not emerge, just re-plant the area.","Do not soak corn seeds prior to planting. Plant 2-5cm (1-2″) deep (shallower for sh2 seed or in cool soil). Sow seeds around 7.5cm (3″) apart, in rows 60-90cm (24-36″) apart. Because corn is wind pollinated, plant in a dense block of at least 4 rows, rather than in single rows. This increases the chance of corn pollen, which emerges from male flowers at the growing tip, to fall down onto the receptive female silks that extend from each corn cob.","Ideal pH: 5.8-6.8. Corn is a heavy feeder, so add manure or compost, and use 500g (1 lb) of complete organic fertilizer per 6m (60′) of row, mixing it thoroughly into the soil beneath each seed furrow. Thin to at least 20-25cm (8-10″) apart in the row. Large eared and double-eared varieties need to be 30cm (24″) apart. Keep free of weeds until knee-high, and then leave it alone. GerminationDays to maturity: From direct sowing.In optimal conditions at least 85% of seeds will germinate. Usual seed life: 2 years. Per 100′ row: 400 seeds, per acre: 87M seeds.","When the silks at the end of an ear are a dry brown, the cob seems to start to droop, and the kernels release milky juice when cut. Harvesting PopcornLeave the ears of popcorn varieties on the plants to dry as long as possible into late summer and early fall. The husks should turn yellow/brown as they dry and the kernels should harden. Once the plants appear to be completely dry, or if wet weather is in the forecast, harvest the ears and bring them indoors. Remove the husks. Store the ears in mesh bags in a warm, dry, airy location. The ideal humidity level for curing popcorn is 13 to 14%. Curing is the process after drying that allows for long term storage of popcorn kernels. Once a week, remove a few kernels and try popping them. Popcorn that is chewy or kernels that have jagged edges after popping both mean that the kernels are not dry enough. Continue curing and test-popping until the desired texture is reached. Then remove the kernels and store them in an air-tight container."
Corn Salad,Vegetable,"Sow corn salad in early spring and again in September for fall and winter harvests. Ideal temperature: 5-18°C (45-65°F). Seeds sprout best in cool, moist soil. Seeds germinate in 7-21 days.",Sow 3 seeds per inch 1cm (½”) deep in rows 30cm (12″) apart. Thin to 5cm (2”) apart.,"Ideal pH: 6.5-7.0. Grow in light, fertile soil . Corn salad grows best on fertilizer remaining in the bed after summer crops have been harvested, so it’s perfect for following any crop that ends in September, like bush beans or lettuce. Try filling a raised bed with corn salad for fall & winter harvests: Fifty feet of planted row will provide a big bowl of tender leaves harvested once a week. GerminationDays to maturity: From direct sowing.In optimum conditions at least 75% of seeds will germinate. Usual seed life: 3 years. Per 100’ row: 3600 seeds, per acre: 257.4M seeds.","Delicately bunch small groups of leaves together and cut with a sharp knife 2-5cm (1-2″) above the soil, so the plants can grow back. Or sow very densely, and gradually thin the plants throughout winter, cutting them at the soil line. Corn salad leaves frequently come in contact with soil, so rinse them thoroughly."
Cress,Vegetable,Seed every three weeks from just before the last frost date until the end of summer for a continuous harvest. Provide frost protection with a cloche or heavy row cover when frost looms in the fall. Many mesclun types and mixes will continue to grow all winter where winters are mild.,"Plant in a block or in a wide row. Sprinkle the seeds evenly over prepared, moist soil. Try to space seeds about 1cm (½”) apart. Cover lightly with soil, and firm them in. Four grams of seed will plant a 12m (40′) row that is 7cm (3″) wide, so don’t plant the whole packet at once. For container growing, choose containers that are at least 10cm (4″) deep. Wider is better. The most common mistake is over-planting.","Moderately fertile soil – particularly if you’re planning mutliple harvests. Dig in 1 cup of complete organic fertilizer for every 3m (10′) of row. For containers, use peat or coir based mix with compost added. Water regularly. If growth slows after harvest, use a bit of kelp or fish based fertilizer to provide a boost of nutrition for the next growth spurt.","There are two methods of gathering salad greens. You can use scissors to cut everything about 2-5cm (1-2″) from the ground, when the plants are about 10-15cm (3-4″) tall. Or, you can pick individual leaves as they’re needed. The first cutting may contain more brassicas than lettuces (arugula, mizuna) but if you cut the mix back when the leaves are still small, the lettuce will catch up. The salad greens will regrow for a second harvest in another 2 or 3 weeks."
Cucumber,Vegetable,"Cucumbers need very warm soil to germinate. If direct sowing, wait until mid-June. If weather turns cool and wet after that, just re-sow. Or start transplants indoors in individual peat or coir pots 3-4 weeks before transplanting out into warm soil. If starting indoors, use bottom heat. Transplant when the plants develop their third true leaf. If the plants are too big, they may experience transplant shock. Optimal soil temperature for germination (and transplanting): 15-30°C (60-85°F).",Sow 3-4 seeds 2cm (1″) deep in each spot you want a plant to grow. Thin to the strongest seedling. Space plants 23cm (9″) apart in rows 90cm (36″) apart.,"Ideal pH: 6.0-6.8. Choose a warm, well-drained soil. Raised beds work well. Add diolomite lime and compost or well-rotted manure to the bed and ½-1 cup of complete organic fertilizer mixed into the soil beneath each transplant. Cucumbers are vigorous and need lots of nutrition and water. Use plastic mulch, plant under floating row cover or cloches – anything to warm things up. Once the weather warms up, keep soil evenly moist. When plants begin to flower, remove covers so bees can access the flowers to pollinate. Fruit that is not fully pollinated will be very small and shriveled, and should be removed from the plant. Most varieties should produce fruits until the weather begins to cool down. Keep plants well picked for better production. Try to water the soil only, keeping the leaves as dry as possible.Almost all cucumbers benefit from being trained onto a trellis of some kind. Some vines can reach 7 or 8 feet in length, so growing them upward onto a trellis makes good use of garden space. Fruits that grow hanging into space tend to be straighter than those that form on the ground. GerminationDays to maturity: From transplant date.In optimal conditions at least 60% of seeds will germinate. Usual seed life: 3 years. Per 100′ row: 240 seeds, per acre: 35M seeds.","For a continuous harvest, make successive plantings every 2 to 3 weeks until about 3 months before first fall frost date. Keep picking the cucumbers regularly, because if they get too big, the plant will stop producing. About one month before first frost, start pinching off new flowers so plants channel energy into ripening existing fruit."
Eggplant,Vegetable,"Sow indoors in the four weeks following the last frost date. Use bottom heat, and keep seedlings warm. Optimal soil temperature: 24-32°C (75-90°F). Seeds should sprout in 7-12 days.",Sow seeds 5mm-1cm (¼-½”) deep. Use individual peat or coir pots to reduce root disturbance when transplanting. Transplant after night time temperatures are steadily 10°C (50°F) or warmer. Space with 45-60cm (18-24″) between plants. Medium size (3-5 gallon) containers for individual plants also work well.,"Ideal pH: 5.5-6.0. Soil should have abundant phosphorus and calcium, so add lime and compost to the soil three weeks prior to transplanting. Mix ¼-½ cup of complete organic fertilizer into the soil beneath each transplant. Using a clear plastic cloche or floating row cover helps growth by increasing heat. Cool temperatures increase leafy growth, but delay fruit set. Once most eggplants get going in the summer, they are highly productive right up until the first frosts. GerminationDays to maturity: From transplant date.In optimal conditions at least 65% of the seeds will germinate. Usual seed life: 3 years.","Pinch off blossoms 2 to 4 weeks before first expected frost so that plants focus on ripening any existing fruit, not producing new ones. Harvest the fruit anytime after the fruit reaches half of their size. Harvesting early prevents fruit from becoming too seedy, and will encourage more production from the plants.Do not pull the fruit off the plant, but cut it with scissors or secateurs, being careful to avoid any sharp spurs at the stem end."
Endive,Vegetable,"Sow after the last frost date and again in mid-summer to take advantage of the fall growing season. Optimal soil temperature: 10-22°C (50-72°F). Seeds sprout in 2-15 days, depending on conditions. In hot weather plants may go to seed quickly, so have new plantings ready to go.","Either direct seed or start indoors and transplant. Sow seeds 5mm (¼”) deep, and thin or transplant to allow 30-45cm (12-18″) between plants in rows 30-45cm (12-18″) apart.","Ideal pH: 6.0-6.5.Enrich soil with compost and add ¼ cup balanced organic fertilizer into the soil beneath each transplant. Rapid, continuous growth is essential for good yields and high quality. Regular watering is essential.Fall plantings can be protected from rain by putting a cloche over them. Endive heads can be blanched to reduce bitterness by placing a cardboard or plastic disc on top. Radicchio requires a good supply of phosphorus and potassium, but will not head and may bolt if there is too much nitrogen available. Days to maturity shown are from date of direct sowing. If transplanting, subtract 10-15 days. GerminationDays to maturity: From direct sowing.In optimal conditions at least 65% of seeds will germinate. Usual seed life: 3 years. Per 100′ row: 140 seeds, per acre: 40.6M seeds.",Use as a cut and come again crop or let the heads develop and cut at ground level. Many will grow back.
Fennel,Vegetable,Start indoors 4 weeks before the last frost date in individual peat or coir pots. Fennel dislikes root disturbance. Transplant (or direct sow rows) 4 weeks after last frost in succession to mid-summer. Ideal temperature for germination: 15-21°C (60-70°F). Seeds should sprout in 10-14 days.,"Sow seeds 1cm (1/2”) deep, a few seeds where each plant is to grow. Thin or space to 20-30cm (8-12”) in rows 45cm (18”) apart.","Ideal pH: 5.5-7.0. Rich, well-drained soil produces the best bulbs. Transplant when seedlings are 5cm (2″) tall. If raising transplants, do not disturb the roots, as this may cause plants to bolt. Keep well watered to ensure succulent bulbs and prevent bolting. GerminationDays to maturity: From direct sowing.In optimal conditions 80% of seeds will germinate. Usual seed life: 2 years. Per 100′ row: 240 seeds, per acre: 53M seeds.","Use a knife to slice the bulb from the root when it has thickened to 5cm (2″) or more across. If this is done carefully, smaller bulbs will sprout from the root later."
Kale and Collards,Vegetable,"Direct sow in early spring to mid-summer for summer to winter harvests. Or start indoors 4-6 weeks before the last frost, and transplant out as soon as the soil warms up. Optimal soil temperature: 10-30°C (50-85°F). Seeds should germinate in 7-10 days.",Sow 3-4 seeds 5mm (¼”) deep in each spot you where a plant is to grow. Thin to the strongest plant. Space 45-60cm (18-24″) apart in rows 75-90cm (30-36″) apart.,"Ideal pH: 6.0-6.8. Add lime to the bed 3 weeks prior to sowing. Kale likes well-drained, fertile soil high in organic matter. This plant prefers plentiful, consistent moisture. Drought is tolerable, but quality and flavor of leaves can suffer. Mix ¼ cup of complete organic fertilizer into the soil beneath each transplant, or use 1 cup beneath every 3m (10′) of seed furrow. GerminationDays to maturity: From transplant date.In optimum conditions, at least 80% of seeds will germinate.","Kale and collards can both be grown as a cut and come again crop for salad mixes by direct-seeding and cutting when plants are 5-8cm (2-3″) tall. They will re-grow. Or pick leaves from the bottom up on mature plants as you need them. In spring, the surviving plants start to flower, so eat the delicious flowering steps and buds."
Kholrabi,Vegetable,"Direct sow several times during the four to six weeks after the last frost date for a crop to mature starting in about 8 weeks. Sow again after mid-July to early August for fall and winter crops. Planting between mid-May and mid-July causes kohlrabi to mature in hot weather, resulting in inferior bulbs. In short season areas, start kohlrabi indoors in cell trays about 4 weeks before the last frost date and transplant out once day time temperatures are steadily above 10°C (50°F). Optimal soil temperature for germination: 10-30°C (50-85°F). Seeds should germinate in 7-10 days.",Sow seeds 5mm (¼”) deep with plants spaced 10-15cm (4-6″) apart in rows 30-45cm (12-18″) apart.,"Ideal pH: 6.0-6.8. Kohlrabi is a moderate to heavy feeder that does best in humus-rich soil amended with composted manure. Mix ¼-½ cup complete organic fertilizer into the soil under each plant. GerminationDays to maturity: From direct sowing.In optimal conditions, at least 80% of the seeds will germinate. Usual seed life: 3 years. Per 100′ row: 360 seeds, per acre: 104M seeds.","Spring-sown kohlrabi will get larger than tennis balls in fair soil, but if you pick them when they are still less than 5-8cm (2-3″) in diameter they will be sweet and tender. Fall-grown kohlrabi can grow larger yet stay tender. Kohlrabi is frost-hardy, and may last well beyond Christmas in mild winter areas."
Lettuce,Vegetable,"Lettuce grows best in cool weather in the spring and fall, but it can be grown in the summer, and all winter long in milder regions. Sow short rows every 2-3 weeks following the last average frost date for a continual harvest. Using a cloche, cold frame, or greenhouse over mid-late summer plantings can extend the harvest period right into winter. Optimal soil temperature for germination: 10-22°C (50-72°F). Seeds should sprout in 7-15 days, depending on conditions. Lettuce seeds don’t sprout easily when the soil temperature is over 22°C (72°F) in summer. Get around this by sprouting them indoors in a cool area, or pre-sprout by sprinkling seeds on a damp paper towel and placing it in a plastic bag in the fridge for a few days. In hot weather most lettuce goes to seed rapidly, so have new plantings ready to go, and watch for ""good resistance to bolting"" in the product description.","Direct sow or start indoors and transplant. Sow seeds 5mm (¼”) deep, or on the surface of the soil where the soil can be kept evenly moist. Space or thin heading lettuce to 30cm (12″) apart. Space or thin looseleaf varieties to 20-25cm (8-10″) apart. Space rows for all types 45-90cm (18-36″) apart. Babyleaf lettuce can be planted quite densely, as it is harvested at an immature size. Sowing babyleaf lettuce seeds closely together in narrow rows makes harvesting simpler.: A number of our lettuce seeds are pelleted for machine planting. The white clay ball that covers each seed makes them easier to handle and easier to see when planted. While most lettuce seeds need to be barely covered (or sown on the surface of the soil), pelleted seeds need to be buried by about 1cm (1/2″). Please keep your newly sown pelleted seeds evenly moist – use more water than with conventional seeds. If the soil is allowed to dry out, the clay pelleting material can wick water away from the seed, causing uneven or lower germination.","Ideal pH: 6.0-6.5. Aim for a soil with ample drainage and lots of organic matter. Add compost and lime at least 3 weeks prior to planting. One cup of balanced organic fertilizer per 3m (10′) of row will give adequate nutrition. Seedlings should be hardened off by reducing water and putting the plants outdoors 2 or 3 days before transplanting. This will help to prevent transplant shock and premature bolting. Regular watering is essential to prevent leaves from developing a bitter taste.  GerminationDays to maturity: From direct sowing. Most varieties will be ready for harvesting as baby leaves in half the days shown on the packet.In optimal growing conditions at least 70% of seeds will germinate. Usual seed life: 3 years. Per 100′ row: 240 seeds head lettuce/1.2M seeds leaf type, per acre: 58M seeds head lettuce/348M leaf type.","Pick individual leaves or wait and harvest full heads. Mature summer lettuce stays in prime eating condition only a short time, so harvest promptly and keep planting. In fall and winter the plants stay in good harvest condition longer."
Microgreens,Vegetable,"Timing microgreens depends on the individual kinds of greens you will be growing. Cress grows really fast, and can be harvested a few days after sowing. Carrot seeds can take as long as 2 to 3 weeks to germinate, so you should expect to allow extra time.Microgreens can be grown at any time of the year as long as you can supply enough light.","Follow the planting instructions for each variety of seeds. For instance, some seeds prefer to be sown on the surface of the soil, while others need to be covered. We recommend using sterilized seed starting soil in shallow trays that have drainage holes at the bottom. You could try growing microgreens in 12-cell plug inserts that have been inserted into seedling germination trays. You can also grow microgreens in recycled plastic containers or clamshell packaging, as long as you poke some drainage holes in the bottom. Using a seedling warmer will increase the speed of germination, but it is not strictly necessary.Spread the sterilized soil to a depth of only 2-3 inches. You’ll be harvesting the baby seedlings, so they don’t need a lot of room to grow roots.Sow microgreen seeds fairly densely, a little less dense for large seeds like sunflowers. Once your microgreen seeds have been planted, mist the whole area. You want to keep the soil moist like a wrung out sponge, but not sitting in water. Keep your mist sprayer handy, and spritz the soil regularly. The nice thing about using seedling germination trays is that you can take a second tray and invert it over the planted tray. This traps moisture inside, and prevents rapid evaporation.","As soon as the first sprout is visible above the soil, remove the tray from the seedling warmer (if using), and remove the cover (if using). Bright light is essential for growing microgreens. From late spring to early autumn, microgreens can be grown outdoors under daylight conditions. But indoors, you will need to provide some kind of supplemental light, particularly in the short, dim days of winter. The Growlight Garden is one of the best microgreen growing systems we have found. It even has a self-watering mechanism, which makes the whole process much easier. But any way you can provide light from T5 fluourescent tubes or other grow lights will work. Aim for full spectrum lights.This bright light will help keep your microgreens short and stout. When light is insufficient, the sprouts will grow long and spindly.","Microgreens can be pulled from the soil and rinsed until all the soil particles have washed away. They can be enjoyed whole, roots and all. Or simply trim them with scissors and dispose of the used soil in your compost.Microgreens are intended to be harvested when the first leaf pair (the cotyledon, or seed leaf) opens fully and turns green. This is the point at which your microgreens will be richest in nutrients. However, you can also let the seedlings continue to grow and harvest them as needed. Be aware that the longer they are left to grow the more roots will also develop in the soil."
